
Dataset: texas():
======================
Number of graphs: 1
Number of features: 1703
Number of classes: 5

Data(x=[183, 1703], edge_index=[2, 325], y=[183], train_mask=[183, 10], val_mask=[183, 10], test_mask=[183, 10])
===========================================================================================================
Shape of the new adjacency matrix:  torch.Size([183, 183])
Number of nodes:  183
Number of edges:  325
Density:  0.0097
Maximum node degree:  104
Minimum node degree:  0
Average node degree:  2
Has isolated nodes: False
Has self-loops: True
Is undirected: False
===========================================================================================================
Device:  cuda:0
===========================================================================================================
Split:  0
===========================================================================================================
Epoch: 054, Loss: 0.8762, Train Acc: 1.0000, Val Acc: 0.7966, Test Acc: 0.8378
Epoch: 055, Loss: 0.8754, Train Acc: 1.0000, Val Acc: 0.8136, Test Acc: 0.8919
Epoch: 056, Loss: 0.9011, Train Acc: 0.9885, Val Acc: 0.7966, Test Acc: 0.8919
Epoch: 057, Loss: 0.8744, Train Acc: 1.0000, Val Acc: 0.7627, Test Acc: 0.8919
Epoch: 058, Loss: 0.8669, Train Acc: 1.0000, Val Acc: 0.7966, Test Acc: 0.8919
Epoch: 059, Loss: 0.8583, Train Acc: 1.0000, Val Acc: 0.7966, Test Acc: 0.8378
Epoch: 060, Loss: 0.8750, Train Acc: 0.9885, Val Acc: 0.8644, Test Acc: 0.8108
Epoch: 061, Loss: 0.8604, Train Acc: 1.0000, Val Acc: 0.8475, Test Acc: 0.8378
Epoch: 062, Loss: 0.8881, Train Acc: 0.9655, Val Acc: 0.7627, Test Acc: 0.8108
Epoch: 063, Loss: 0.8861, Train Acc: 0.9885, Val Acc: 0.7458, Test Acc: 0.8108
Epoch: 064, Loss: 0.8549, Train Acc: 1.0000, Val Acc: 0.7797, Test Acc: 0.8378
Epoch: 065, Loss: 0.8616, Train Acc: 1.0000, Val Acc: 0.7797, Test Acc: 0.8108
Epoch: 066, Loss: 0.8560, Train Acc: 1.0000, Val Acc: 0.8305, Test Acc: 0.7838
Epoch: 067, Loss: 0.8584, Train Acc: 0.9885, Val Acc: 0.8136, Test Acc: 0.8108
Epoch: 068, Loss: 0.8406, Train Acc: 1.0000, Val Acc: 0.7288, Test Acc: 0.8108
Epoch: 069, Loss: 0.9525, Train Acc: 0.9885, Val Acc: 0.7797, Test Acc: 0.8108
Epoch: 070, Loss: 0.8811, Train Acc: 0.9885, Val Acc: 0.7797, Test Acc: 0.8378
Epoch: 071, Loss: 0.8281, Train Acc: 1.0000, Val Acc: 0.7797, Test Acc: 0.8378
Epoch: 072, Loss: 0.8304, Train Acc: 1.0000, Val Acc: 0.8136, Test Acc: 0.8108
Epoch: 073, Loss: 0.8279, Train Acc: 1.0000, Val Acc: 0.8305, Test Acc: 0.8108
Epoch: 074, Loss: 0.8321, Train Acc: 1.0000, Val Acc: 0.8475, Test Acc: 0.7568
Epoch: 075, Loss: 0.8269, Train Acc: 1.0000, Val Acc: 0.8644, Test Acc: 0.7838
